Date,Time,Time.Point,day,ElapsedDays,Bottle,Treatment,Depth,Rep,CO2.sys.ppm.p,CH4.sys.ppm.p,n.mol.p,CO2.air.ppm,CH4.air.ppm,CO2.sys.ppm,CH4.sys.ppm
10/5/2016,15:00,T7,0,0,IB 20-M1,IB 20,M,1,"","",0.02,,,446.8,2.008
10/6/2016,15:30,T8,1,1.02,IB 20-M1,IB 20,M,1,446.80,2.0080,0.02,426.13,1.866,470.75,2.0272
10/7/2016,11:13,T9,2,1.84,IB 20-M1,IB 20,M,1,470.75,2.0272,0.02,451.2,1.8642,497.47,2.0404
10/11/2016,15:11,T10,6,6.01,IB 20-M1,IB 20,M,1,497.47,2.0404,0.02,554.29,1.9997,685.32,2.2303
10/14/2016,15:25,T11,9,9.02,IB 20-M1,IB 20,M,1,685.32,2.2303,0.02,470.02,1.9869,789.7,2.2751
10/17/2016,10:20,T12,12,11.81,IB 20-M1,IB 20,M,1,789.70,2.2751,0.02,540.22,1.9373,985.7,2.3417
10/20/2016,11:07,T13,15,14.84,IB 20-M1,IB 20,M,1,985.70,2.3417,0.02,469.05,1.887,976.53,2.4089
10/24/2016,12:11,T14,19,18.88,IB 20-M1,IB 20,M,1,976.53,2.4089,0.02,424.83,1.9918,1087.3,2.6226
10/26/2016,15:39,T15,21,21.03,IB 20-M1,IB 20,M,1,1087.30,2.6226,0.02,457.44,2.0213,1087.28,2.6971
10/26/2016,16:40,T15,21,21.07,IB 20-M1,IB 20,M,1,opened bottles to atmosphere,opened bottles to atmosphere,0.02,,,555.02,2.0801
10/28/2016,13:45,T16,23,22.95,IB 20-M1,IB 20,M,1,555.02,2.0801,0.02,483.1,1.9743,659.73,2.2145
10/31/2016,15:05,T15,26,26,IB 20-M1,IB 20,M,1,659.73,2.2145,0.02,496.89,1.9669,815.08,2.3671
11/2/2016,14:25,T16,28,27.98,IB 20-M1,IB 20,M,1,815.08,2.3671,0.02,410.02,1.9143,863.24,2.376
11/4/2016,10:25,T17,30,29.81,IB 20-M1,IB 20,M,1,863.24,2.3760,0.02,482.32,1.9308,908.25,2.3731
11/7/2016,15:28,T18,33,33.02,IB 20-M1,IB 20,M,1,908.25,2.3731,0.02,479.16,1.9411,1054.75,2.4432
11/10/2016,9:58,T19,36,35.79,IB 20-M1,IB 20,M,1,1054.75,2.4432,0.02,488.01,1.9822,1165.69,2.4745
12/1/2016,11:00,T20,57,56.83,IB 20-M1,IB 20,M,1,1165.69,2.4745,0.02,743.9,1.932,3135,3.232
12/8/2016,14:40,T21,64,63.99,IB 20-M1,IB 20,M,1,3135.00,3.2320,0.02,627.11,2.0816,3477.82,3.3702
12/8/2016,14:40,T21,64,63.99,IB 20-M1,IB 20,M,1,opened bottles to atmosphere,opened bottles to atmosphere,0.02,,,656.49,2.0791
12/20/2016,9:30,T22,76,75.77,IB 20-M1,IB 20,M,1,656.49,2.0791,0.02,510.75,1.9737,1811.82,2.5524
1/4/2017,14:00,T23,91,90.96,IB 20-M1,IB 20,M,1,1811.82,2.5524,0.02,554,1.985,3368,3.148
1/10/2017,10:00,T24,97,96.79,IB 20-M1,IB 20,M,1,3368.00,3.1480,0.02,547,2.038,3510,3.196
1/18/2017,11:00,T25,105,104.83,IB 20-M1,IB 20,M,1,3510.00,3.1960,0.02,488,1.9152,3785,3.2755
1/25/2017,13:30,T26,112,111.94,IB 20-M1,IB 20,M,1,3785.00,3.2755,0.02,545.6,2.043,3858,3.328
2/1/2017,10:30,T27,119,118.81,IB 20-M1,IB 20,M,1,3858.00,3.3280,0.02,595,2.0389,4051,3.4356
2/8/2017,14:00,T28,126,125.96,IB 20-M1,IB 20,M,1,4051.00,3.4356,0.02,488,1.9517,4141,3.491
2/15/2017,14:35,T29,133,132.98,IB 20-M1,IB 20,M,1,4141.00,3.4910,0.02,613.6,2.02,4141.4,3.4888
2/22/2017,13:30,T30,140,139.94,IB 20-M1,IB 20,M,1,4141.40,3.4888,0.02,514.9,1.892,4128,3.452
3/2/2017,9:40,T31,148,147.78,IB 20-M1,IB 20,M,1,4128.00,3.4520,0.02,494,1.941,4223,3.488
3/7/2017,14:17,T32,153,152.97,IB 20-M1,IB 20,M,1,4223.00,3.4880,0.02,408.4,1.919,4201.2,3.473
3/15/2017,15:00,T33,161,161,IB 20-M1,IB 20,M,1,4201.20,3.4730,0.02,467.02,1.9155,4356.5,3.544
10/5/2016,15:00,T7,0,0,IB 20-M2,IB 20,M,2,"","",0.02,,,451.2,2.017
10/6/2016,15:30,T8,1,1.02,IB 20-M2,IB 20,M,2,451.20,2.0170,0.02,422.49,1.8634,473.82,2.0175
10/7/2016,11:13,T9,2,1.84,IB 20-M2,IB 20,M,2,473.82,2.0175,0.02,444.13,1.8435,499.31,2.0206
10/11/2016,15:11,T10,6,6.01,IB 20-M2,IB 20,M,2,499.31,2.0206,0.02,554.03,1.9993,663.6,2.1902
10/14/2016,15:25,T11,9,9.02,IB 20-M2,IB 20,M,2,663.60,2.1902,0.02,465.53,1.9883,790.55,2.2461
10/17/2016,10:20,T12,12,11.81,IB 20-M2,IB 20,M,2,790.55,2.2461,0.02,553.33,1.9385,847.61,2.2795
10/20/2016,11:07,T13,15,14.84,IB 20-M2,IB 20,M,2,847.61,2.2795,0.02,474.17,1.883,869.31,2.2935
10/24/2016,12:11,T14,19,18.88,IB 20-M2,IB 20,M,2,869.31,2.2935,0.02,426.14,1.9818,899.82,2.3814
10/26/2016,15:39,T15,21,21.03,IB 20-M2,IB 20,M,2,899.82,2.3814,0.02,460.69,2.0836,868.39,2.3899
