"temp","Eastport.ME","CutlerFarrisWharf.ME","BarHarbor.ME","Portland.ME","Wells.ME","Boston.MA","FallRiver.MA","ChathamLydiaCove.MA","WoodsHole.MA","NantucketIsland.MA","Newport.RI","ConimicutLight.RI","Providence.RI","QuonsetPoint.RI","NewLondon.CT","NewHaven.CT","Bridgeport.CT","Montauk.NY","KingsPoint.NY","TheBattery.NY","TurkeyPointHudsonRiverNERRS.NY","BergenPointWestReach.NY","SandyHook.NJ","AtlanticCity.NJ","CapeMay.NJ","ShipJohnShoal.NJ","BurlingtonDelawareRiver.NJ","MarcusHook.PA","Philadelphia.PA","Bridesburg.PA","Newbold.PA","DelawareCity.DE","ReedyPoint.DE","BrandywineShoalLight.DE","Lewes.DE","OceanCityInlet.MD","BishopsHead.MD","Cambridge.MD","TolchesterBeach.MD","ChesapeakeCity.MD","BaltimoreFortMcHenryPatapscoRiver.MD","Annapolis.MD","SolomonsIsland.MD","Washington.DC","Wachapreague.VA","Kiptopeke.VA","Dahlgren.VA","Lewisetta.VA","YorktownUSCGTrainingCenter.VA","SewellsPoint.VA","CBBTChesapeakeChannel.VA","MoneyPoint.VA","Duck.NC","OregonInletMarina.NC","USCGStationHatteras.NC","BeaufortDukeMarineLab.NC","Wilmington.NC","WrightsvilleBeach.NC","CharlestonCooperRiverEntrance.SC","FortPulaski.GA","FernandinaBeach.FL","Mayport(BarPilotsDock).FL","DamesPoint.FL","JacksonvilleUniversity.FL","TridentPierPortCanaveral.FL","LakeWorthPierAtlanticOcean.FL","SouthPortEverglades.FL","VirginiaKeyBiscayneBay.FL","VacaKeyFloridaBay.FL","KeyWest.FL","NaplesGulfofMexico.FL","FortMyers.FL","PortManatee.FL","St.PetersburgTampaBay.FL","OldPortTampa.FL","EastBay.FL","ClearwaterBeach.FL","CedarKey.FL","Apalachicola.FL","PanamaCity.FL","PanamaCityBeach.FL","Pensacola.FL","WeeksBayMobileBay.AL","DauphinIsland.AL","CoastGuardSectorMobile.AL","MobileStateDocks.AL","GrandBayNERRMississippiSound.MS","PascagoulaNOAALab.MS","BayWavelandYachtClub.MS","Pilottown.LA","PilotsStationEastS.W.Pass.LA","ShellBeach.LA","GrandIsle.LA","NewCanalStation.LA","Carrollton.LA","WestBank1BayouGauche.LA","BerwickAtchafalayaRiver.LA","LAWMAAmeradaPass.LA","EugeneIslandNorthofGulfofMexico.LA","FreshwaterCanalLocks.LA","LakeCharles.LA","BulkTerminal.LA","CalcasieuPass.LA","PortArthur.TX","SabinePassNorth.TX","MorgansPointBarboursCut.TX","Manchester.TX","HighIsland.TX","TexasPointSabinePass.TX","RolloverPass.TX","EaglePointGalvestonBay.TX","GalvestonBayEntranceNorthJetty.TX","GalvestonPier21.TX","GalvestonRailroadBridge.TX","SanLuisPass.TX","Freeport.TX","FreeportSPIPFreeportHarbor.TX","Sargent.TX","Seadrift.TX","MatagordaCity.TX","PortLavaca.TX","MatagordaBayEntranceChannel.TX","AransasWildlifeRefuge.TX","Rockport.TX","PortAransas.TX","AransasAransasPass.TX","NuecesBay.TX","USSLexingtonCorpusChristiBay.TX","PackeryChannel.TX","BobHallPierCorpusChristi.TX","S.BirdIsland.TX","BaffinBay.TX","RinconDelSanJose.TX","PortMansfield.TX","RealitosPeninsula.TX","SouthPadreIslandCGStation.TX","SPIBrazosSantiago.TX","PortIsabel.TX","SanDiegoSanDiegoBay.CA","LaJolla.CA","LosAngeles.CA","SantaMonica.CA","PortSanLuis.CA","Monterey.CA","SanFrancisco.CA","RedwoodCity.CA","Alameda.CA","Richmond.CA","PointReyes.CA","Martinez-AmorcoPier.CA","PortChicago.CA","ArenaCove.CA","NorthSpit.CA","CrescentCity.CA","PortOrford.OR","Charleston.OR","SouthBeach.OR","Garibaldi.OR","Astoria.OR","Longview.WA","TokePoint.WA","Westport.WA","LaPushQuillayuteRiver.WA","NeahBay.WA","PortAngeles.WA","PortTownsend.WA","Tacoma.WA","CherryPointSouthDock.WA","CherryPoint.WA","FridayHarbor.WA"
-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,27,0,0,0,0,96,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,55,0,16,0,0,1881,0,1322,715,0,0,0,10,2,52,0,51,12,0,0,0,639,169,0,0,0,0,2764,38,0,0,0,0,488,0,608,0,0,0,0,0,0,0,0,0,0,1723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,94,522,1300,13,0,1076,0,1558,3841,281,0,40,2318,1,4398,2122,540,24,3,5753,0,872,1609,34,0,8241,0,6230,67,0,0,4442,0,1324,0,840,0,24,0,0,0,460,1007,0,11,387,2020,634,2,0,0,0,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,156,1619,9285,83,1619,2740,0,3514,5690,2183,31,292,7233,12,5796,7687,1170,1427,0,7844,0,821,3672,1529,1,4210,0,4901,522,1828,366,1803,0,3606,0,693,0,187,0,0,0,2474,3885,108,196,879,935,1547,56,0,489,0,744,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,881,8777,10905,649,5531,4440,0,7272,4907,6784,1648,2697,5616,481,5705,5975,3718,7352,0,6945,8,3446,5189,1620,4649,2803,0,5759,2318,3454,4036,3960,0,4670,0,1690,7,917,51,0,0,4237,4016,469,971,869,1924,2087,1195,0,1846,23,623,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,22,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8788,2272,6974,5194,1855,2812,3351,0,5698,4053,6657,5009,4791,5784,1167,5358,5150,6406,3656,0,3032,51,4741,3200,2745,3863,2970,162,2848,2250,3615,4099,1930,0,3235,29,2081,296,2466,3404,0,0,2891,4310,723,1795,1700,1968,1104,4045,54,1693,1322,564,721,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,47,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,49,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0
4,11354,15138,8195,2128,7679,8441,7404,0,4622,6234,8126,7055,9332,4816,9728,5620,4045,4164,6529,291,3764,1074,4802,5798,4056,7218,4983,6337,3848,4115,4266,6583,2828,0,4266,274,4292,2598,3140,5091,1119,0,6763,4621,721,4906,4463,2887,4075,2664,500,1564,5016,749,423,0,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,187,0,0,3642,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,75,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,1559,0,0,1,0,30,0,0
