"Region","State","MarshShore","n","BankHt","ErosionRate","erodedSedVolume","erodedSedCarbon","Decomp","SD"
"Atlantic","CT",897,3,"Shallow","Large",26910,726570,90212.0937392631,4206.53386370517
"Atlantic","DE",1565,4,"Shallow","Large",46950,1267650,190549.176435939,5215.32080873201
"Atlantic","DC",0,1,"Shallow","Large",0,0,0,0
"Atlantic","FL",3995,8,"Shallow","Large",119850,3235950,912520.561491192,9369.47660821509
"Atlantic","GA",5844,1,"Shallow","Large",175320,4733640,1088674.36811311,29006.1326681587
"Atlantic","ME",0,5,"Shallow","Large",0,0,0,0
"Atlantic","MD",8550,7,"Shallow","Large",256500,6925500,1141248.79036365,20554.1696819093
"Atlantic","MA",2042,4,"Shallow","Large",61260,1654020,198734.593136865,7820.87031943676
"Atlantic","NH",263,,"Shallow","Large",7890,213030,,
"Atlantic","NJ",5328,5,"Shallow","Large",159840,4315680,610670.715438745,17564.8994355321
"Atlantic","NY",2058,5,"Shallow","Large",61740,1666980,223899.656966415,7456.76160635115
"Atlantic","NC",7579,6,"Shallow","Large",227370,6138990,1166306.37505022,15962.4825774147
"Atlantic","PA",44,4,"Shallow","Large",1320,35640,5411.02494889319,153.633402942114
"Atlantic","RI",504,4,"Shallow","Large",15120,408240,52719.4352881107,2008.08568500802
"Atlantic","SC",7515,1,"Shallow","Large",225450,6087150,1285013.41848262,47248.1550246788
"Atlantic","VA",9535,6,"Shallow","Large",286050,7723350,1350013.80186035,22839.3095573298
"Gulf","AL",1169,4,"Shallow","Large",35070,946890,232614.462004703,3358.41774567271
"Gulf","FL",7913,13,"Shallow","Large",237390,6409530,1757703.20483062,12925.4815304976
"Gulf","LA",66459,14,"Shallow","Large",1993770,53831790,12733570.6685408,102883.692723152
"Gulf","MS",1973,2,"Shallow","Large",59190,1598130,394630.761825876,7039.78980285853
"Gulf","TX",4332,27,"Shallow","Large",129960,3508920,875138.848846179,4659.38330512024
"Pacific","CA",2135,16,"Shallow","Large",64050,1729350,235057.965327785,4259.44114486428
"Pacific","OR",1274,5,"Shallow","Large",38220,1031940,107733.273032688,6320.08979896901
"Pacific","WA",1388,10,"Shallow","Large",41640,1124280,109963.587663954,5416.18518798744
"Atlantic","CT",897,3,"Deep","Large",80730,2179710,216516.34076495,11836.3627000869
"Atlantic","DE",1565,4,"Deep","Large",140850,3802950,467378.801358198,15266.6758401668
"Atlantic","DC",0,1,"Deep","Large",0,0,0,0
"Atlantic","FL",3995,8,"Deep","Large",359550,9707850,2366148.11231661,30824.0041008374
"Atlantic","GA",5844,1,"Deep","Large",525960,14200920,2765168.95483322,101193.609292931
"Atlantic","ME",0,5,"Deep","Large",0,0,0,0
"Atlantic","MD",8550,7,"Deep","Large",769500,20776500,2829463.4088988,60273.7003390836
"Atlantic","MA",2042,4,"Deep","Large",183780,4962060,474954.970109693,22268.9410943277
"Atlantic","NH",263,,"Deep","Large",23670,639090,,
"Atlantic","NJ",5328,5,"Deep","Large",479520,12947040,1489856.8352111,49841.3424549501
"Atlantic","NY",2058,5,"Deep","Large",185220,5000940,542649.05319169,21054.6797335103
"Atlantic","NC",7579,6,"Deep","Large",682110,18416970,2915059.70110755,53235.6339490877
"Atlantic","PA",44,4,"Deep","Large",3960,106920,13312.3777235839,442.026521611818
"Atlantic","RI",504,4,"Deep","Large",45360,1224720,127152.952554532,5638.10867624288
"Atlantic","SC",7515,1,"Deep","Large",676350,18261450,3242300.36023337,157279.961260484
"Atlantic","VA",9535,6,"Deep","Large",858150,23170050,3363247.42070986,69777.0862684599
"Gulf","AL",1169,4,"Deep","Large",105210,2840670,596346.652176037,10887.3674656179
"Gulf","FL",7913,13,"Deep","Large",712170,19228590,4540881.88318153,42677.7971252122
"Gulf","LA",66459,14,"Deep","Large",5981310,161495370,32569116.1941085,328018.945471157
"Gulf","MS",1973,2,"Deep","Large",177570,4794390,1012124.09944291,23172.762449412
"Gulf","TX",4332,27,"Deep","Large",389880,10526760,2244910.75440221,15258.2047587948
"Pacific","CA",2135,16,"Deep","Large",192150,5188050,562361.806183034,14395.6633188914
"Pacific","OR",1274,5,"Deep","Large",114660,3095820,250683.644687716,18748.3508071531
"Pacific","WA",1388,10,"Deep","Large",124920,3372840,254148.093270023,15724.3347743485
"Atlantic","CT",897,3,"Shallow","Small",8970,242190,30070.6979130877,1402.17795456839
"Atlantic","DE",1565,4,"Shallow","Small",15650,422550,63516.3921453131,1738.44026957734
"Atlantic","DC",0,1,"Shallow","Small",0,0,0,0
"Atlantic","FL",3995,8,"Shallow","Small",39950,1078650,304173.520497064,3123.15886940503
