"Region","State","n stations","Marsh Shoreline (km)","Deep Sed Annual Decomp (mol C/mol C)","Deep Sed Annual Decomp SD (mol C/mol C)","Shallow Sed Annual Decomp (mol C/mol C)","Shallow Sed Annual Decomp SD (mol C/mol C)","Eroded Marsh Sediment Volume Deep Bank & Large Erosion (m^3/yr)","Eroded Marsh Sediment Volume Deep Bank & Small Erosion (m^3/yr)","Eroded Marsh Sediment Volume Shallow Bank & Large Erosion (m^3/yr)","Eroded Marsh Sediment Volume Shllow Bank & Small Erosion (m^3/yr)","Eroded Marsh Sediment Carbon Deep Bank & Large Erosion (kg/yr)","Eroded Marsh Sediment Carbon Deep Bank & Small Erosion (kg/yr)","Eroded Marsh Sediment Carbon Shallow Bank & Large Erosion (kg/yr)","Eroded Marsh Sediment Carbon Shllow Bank & Small Erosion (kg/yr)","Eroded Carbon Decomposed Shallow Bank & Large Erosion (kg/yr)","Eroded Carbon Decomposed Shallow Bank & Large Erosion SD (kg/yr)","Eroded Carbon Decomposed Deep Bank & Large Erosion (kg/yr)","Eroded Carbon Decomposed Deep Bank & Large Erosion SD (kg/yr)","Eroded Carbon Decomposed Shallow Bank & Small Erosion (kg/yr)","Eroded Carbon Decomposed Shallow Bank & Small Erosion SD (kg/yr)","Eroded Carbon Decomposed Deep Bank & Small Erosion (kg/yr)","Eroded Carbon Decomposed Deep Bank & Small Erosion SD (kg/yr)"
"Atlantic","CT",3,897,0.0869181544969427,0.00761362236036134,0.124161600037523,0.00578957824257149,80730,26910,26910,8970,2179710,726570,726570,242190,90212.0937392631,4206.53386370517,216516.34076495,11836.3627000869,30070.6979130877,1402.17795456839,72172.1135883168,11836.3627000869
"Atlantic","DE",4,1565,0.109190085955216,0.00565938312631394,0.150316866986897,0.00411416464223722,140850,46950,46950,15650,3802950,1267650,1267650,422550,190549.176435939,5215.32080873201,467378.801358198,15266.6758401668,63516.3921453131,1738.44026957734,155792.933786066,15266.6758401668
"Atlantic","DC",1,0,0.121770355690731,0.0112421530999498,0.163684462269127,0.00849385686026486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atlantic","FL",8,3995,0.224605996820937,0.00453738350111221,0.281994641910781,0.00289543305929173,359550,119850,119850,39950,9707850,3235950,3235950,1078650,912520.561491192,9369.47660821509,2366148.11231661,30824.0041008374,304173.520497064,3123.15886940503,788716.03743887,30824.0041008374
"Atlantic","GA",1,5844,0.177083025612436,0.010240254975703,0.229986726517672,0.00612765919422658,525960,175320,175320,58440,14200920,4733640,4733640,1577880,1088674.36811311,29006.1326681587,2765168.95483322,101193.609292931,362891.456037705,9668.71088938623,921722.984944407,101193.609292931
"Atlantic","ME",5,0,0.0564840985111093,0.00808959897195103,0.0873186327376241,0.00626941897194748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atlantic","MD",7,8550,0.121883951955465,0.00409073636931441,0.164789371217046,0.00296789685682035,769500,256500,256500,85500,20776500,6925500,6925500,2308500,1141248.79036365,20554.1696819093,2829463.4088988,60273.7003390836,380416.263454552,6851.38989396977,943154.469632934,60273.7003390836
"Atlantic","MA",4,2042,0.0834997088828516,0.00630295070896211,0.120152472846075,0.00472840130073201,183780,61260,61260,20420,4962060,1654020,1654020,551340,198734.593136865,7820.87031943676,474954.970109693,22268.9410943277,66244.8643789549,2606.95677314559,158318.323369898,22268.9410943277
"Atlantic","NH",,263,,,,,23670,7890,7890,2630,639090,213030,213030,71010,,,,,,,,
"Atlantic","NJ",5,5328,0.101859512263694,0.00540397909732259,0.141500462369486,0.00407001896237258,479520,159840,159840,53280,12947040,4315680,4315680,1438560,610670.715438745,17564.8994355321,1489856.8352111,49841.3424549501,203556.905146248,5854.96647851071,496618.945070367,49841.3424549501
"Atlantic","NY",5,2058,0.0956068447807637,0.00590589079735533,0.134314543045756,0.00447321599920284,185220,61740,61740,20580,5000940,1666980,1666980,555660,223899.656966415,7456.76160635115,542649.05319169,21054.6797335103,74633.218988805,2485.58720211705,180883.017730563,21054.6797335103
"Atlantic","NC",6,7579,0.142430051690696,0.00413635944842645,0.189983429692868,0.00260018057977204,682110,227370,227370,75790,18416970,6138990,6138990,2046330,1166306.37505022,15962.4825774147,2915059.70110755,53235.6339490877,388768.791683407,5320.82752580491,971686.567035852,53235.6339490877
"Atlantic","PA",4,44,0.110849505817771,0.00581465493161968,0.151824493515522,0.0043107015415857,3960,1320,1320,440,106920,35640,35640,11880,5411.02494889319,153.633402942114,13312.3777235839,442.026521611818,1803.6749829644,51.2111343140382,4437.45924119464,442.026521611818
"Atlantic","RI",4,504,0.0911639198344374,0.00645255631438789,0.129138338448243,0.00491888517785622,45360,15120,15120,5040,1224720,408240,408240,136080,52719.4352881107,2008.08568500802,127152.952554532,5638.10867624288,17573.1450960369,669.361895002674,42384.3175181774,5638.10867624288
