id,name,lat,lon,State,Region,ObjName
8410140,Eastport,44.9046,-66.9829,ME,Atlantic,Eastport.ME
8411060,Cutler Farris Wharf,44.657,-67.2047,ME,Atlantic,CutlerFarrisWharf.ME
8413320,Bar Harbor,44.3922,-68.2043,ME,Atlantic,BarHarbor.ME
8418150,Portland,43.6581,-70.2442,ME,Atlantic,Portland.ME
8419317,Wells,43.32,-70.5633,ME,Atlantic,Wells.ME
8443970,Boston,42.3548,-71.0534,MA,Atlantic,Boston.MA
8447386,Fall River,41.7043,-71.1641,MA,Atlantic,FallRiver.MA
8447435,"Chatham, Lydia Cove",41.6885,-69.9511,MA,Atlantic,ChathamLydiaCove.MA
8447930,Woods Hole,41.5236,-70.6711,MA,Atlantic,WoodsHole.MA
8449130,Nantucket Island,41.2853,-70.0964,MA,Atlantic,NantucketIsland.MA
8452660,Newport,41.505,-71.3267,RI,Atlantic,Newport.RI
8452944,Conimicut Light,41.7167,-71.3433,RI,Atlantic,ConimicutLight.RI
8454000,Providence,41.8071,-71.4012,RI,Atlantic,Providence.RI
8454049,Quonset Point,41.5868,-71.411,RI,Atlantic,QuonsetPoint.RI
8461490,New London,41.3614,-72.09,CT,Atlantic,NewLondon.CT
8465705,New Haven,41.2833,-72.9083,CT,Atlantic,NewHaven.CT
8467150,Bridgeport,41.1733,-73.1817,CT,Atlantic,Bridgeport.CT
8510560,Montauk,41.0483,-71.9594,NY,Atlantic,Montauk.NY
8516945,Kings Point,40.8103,-73.765,NY,Atlantic,KingsPoint.NY
8518750,The Battery,40.7006,-74.0142,NY,Atlantic,TheBattery.NY
8518962,Turkey Point Hudson River NERRS,42.0139,-73.9392,NY,Atlantic,TurkeyPointHudsonRiverNERRS.NY
8519483,Bergen Point West Reach,40.6367,-74.1417,NY,Atlantic,BergenPointWestReach.NY
8531680,Sandy Hook,40.4669,-74.0094,NJ,Atlantic,SandyHook.NJ
8534720,Atlantic City,39.355,-74.4183,NJ,Atlantic,AtlanticCity.NJ
8536110,Cape May,38.9678,-74.9597,NJ,Atlantic,CapeMay.NJ
8537121,Ship John Shoal,39.305,-75.375,NJ,Atlantic,ShipJohnShoal.NJ
8539094,"Burlington, Delaware River",40.08,-74.8733,NJ,Atlantic,BurlingtonDelawareRiver.NJ
8540433,Marcus Hook,39.8117,-75.4094,PA,Atlantic,MarcusHook.PA
8545240,Philadelphia,39.9333,-75.1417,PA,Atlantic,Philadelphia.PA
8546252,Bridesburg,39.9833,-75.075,PA,Atlantic,Bridesburg.PA
8548989,Newbold,40.1373,-74.7519,PA,Atlantic,Newbold.PA
8551762,Delaware City,39.5817,-75.5883,DE,Atlantic,DelawareCity.DE
8551910,Reedy Point,39.5583,-75.5733,DE,Atlantic,ReedyPoint.DE
8555889,Brandywine Shoal Light,38.9867,-75.1133,DE,Atlantic,BrandywineShoalLight.DE
8557380,Lewes,38.7828,-75.1192,DE,Atlantic,Lewes.DE
8570283,Ocean City Inlet,38.3283,-75.0917,MD,Atlantic,OceanCityInlet.MD
8571421,Bishops Head,38.2204,-76.0387,MD,Atlantic,BishopsHead.MD
8571892,Cambridge,38.5742,-76.0722,MD,Atlantic,Cambridge.MD
8573364,Tolchester Beach,39.2134,-76.2445,MD,Atlantic,TolchesterBeach.MD
8573927,Chesapeake City,39.5267,-75.81,MD,Atlantic,ChesapeakeCity.MD
8574680,"Baltimore, Fort McHenry, Patapsco River",39.2667,-76.5783,MD,Atlantic,BaltimoreFortMcHenryPatapscoRiver.MD
8575512,Annapolis,38.9833,-76.4816,MD,Atlantic,Annapolis.MD
8577330,Solomons Island,38.3172,-76.4508,MD,Atlantic,SolomonsIsland.MD
8594900,Washington,38.8733,-77.0217,DC,Atlantic,Washington.DC
8631044,Wachapreague,37.6078,-75.6858,VA,Atlantic,Wachapreague.VA
8632200,Kiptopeke,37.1652,-75.9884,VA,Atlantic,Kiptopeke.VA
8635027,Dahlgren,38.3197,-77.0366,VA,Atlantic,Dahlgren.VA
8635750,Lewisetta,37.9954,-76.4646,VA,Atlantic,Lewisetta.VA
8637689,Yorktown USCG Training Center,37.2265,-76.4788,VA,Atlantic,YorktownUSCGTrainingCenter.VA
8638610,Sewells Point,36.9467,-76.33,VA,Atlantic,SewellsPoint.VA
8638901,"CBBT, Chesapeake Channel",37.0329,-76.0833,VA,Atlantic,CBBTChesapeakeChannel.VA
8639348,Money Point,36.7783,-76.3017,VA,Atlantic,MoneyPoint.VA
8651370,Duck,36.1833,-75.7467,NC,Atlantic,Duck.NC
8652587,Oregon Inlet Marina,35.795,-75.5481,NC,Atlantic,OregonInletMarina.NC
8654467,USCG Station Hatteras,35.2086,-75.7042,NC,Atlantic,USCGStationHatteras.NC
8656483,"Beaufort, Duke Marine Lab",34.72,-76.67,NC,Atlantic,BeaufortDukeMarineLab.NC
8658120,Wilmington,34.2275,-77.9536,NC,Atlantic,Wilmington.NC
8658163,Wrightsville Beach,34.2133,-77.7867,NC,Atlantic,WrightsvilleBeach.NC
8665530,"Charleston, Cooper River Entrance",32.7808,-79.9236,SC,Atlantic,CharlestonCooperRiverEntrance.SC
8670870,Fort Pulaski,32.0367,-80.9017,GA,Atlantic,FortPulaski.GA
8720030,Fernandina Beach,30.6714,-81.4658,FL,Atlantic,FernandinaBeach.FL
8720218,Mayport (Bar Pilots Dock),30.3982,-81.4279,FL,Atlantic,Mayport(BarPilotsDock).FL
8720219,Dames Point,30.3867,-81.5583,FL,Atlantic,DamesPoint.FL
8720245,Jacksonville University,30.3541,-81.6118,FL,Atlantic,JacksonvilleUniversity.FL
8721604,"Trident Pier, Port Canaveral",28.4158,-80.5931,FL,Atlantic,TridentPierPortCanaveral.FL
8722670,"Lake Worth Pier, Atlantic Ocean",26.6128,-80.0342,FL,Atlantic,LakeWorthPierAtlanticOcean.FL
8722956,South Port Everglades,26.0817,-80.1167,FL,Atlantic,SouthPortEverglades.FL
8723214,"Virginia Key, Biscayne Bay",25.7314,-80.1618,FL,Atlantic,VirginiaKeyBiscayneBay.FL
8723970,"Vaca Key, Florida Bay",24.711,-81.1065,FL,Gulf,VacaKeyFloridaBay.FL
8724580,Key West,24.5508,-81.8081,FL,Gulf,KeyWest.FL
8725110,"Naples, Gulf of Mexico",26.1317,-81.8075,FL,Gulf,NaplesGulfofMexico.FL
8725520,Fort Myers,26.6477,-81.8712,FL,Gulf,FortMyers.FL
8726384,Port Manatee,27.6383,-82.5625,FL,Gulf,PortManatee.FL
8726520,"St. Petersburg, Tampa Bay",27.7606,-82.6269,FL,Gulf,St.PetersburgTampaBay.FL
8726607,Old Port Tampa,27.8578,-82.5528,FL,Gulf,OldPortTampa.FL
8726674,East Bay,27.9231,-82.4214,FL,Gulf,EastBay.FL
8726724,Clearwater Beach,27.9783,-82.8317,FL,Gulf,ClearwaterBeach.FL
8727520,Cedar Key,29.135,-83.0317,FL,Gulf,CedarKey.FL
8728690,Apalachicola,29.7267,-84.9817,FL,Gulf,Apalachicola.FL
8729108,Panama City,30.1523,-85.6669,FL,Gulf,PanamaCity.FL
8729210,Panama City Beach,30.2133,-85.8783,FL,Gulf,PanamaCityBeach.FL
8729840,Pensacola,30.4044,-87.2112,FL,Gulf,Pensacola.FL
8732828,"Weeks Bay, Mobile Bay",30.4169,-87.8254,AL,Gulf,WeeksBayMobileBay.AL
8735180,Dauphin Island,30.25,-88.075,AL,Gulf,DauphinIsland.AL
8736897,Coast Guard Sector Mobile,30.6483,-88.0583,AL,Gulf,CoastGuardSectorMobile.AL
